Wilayah Grouping,Cabang,Zone,Kecamatan,AWB,ID_ACCOUNT,SHIPPER_NAME,TGL_ENTRY,CONSIGNEE_NAME,ADDR1,ADDR2,ADDR3,LAST_OFFICE_DATE,LAST_WAREHOUSE_DATE,NOREF,ORIGIN,DEST,SERVICE,QTY,WEIGHT,GOODS_DESCR,INSURANCE_ID,GOODS_VALUE,INSURANCE_VALUE(+),AMOUNT,INTRUCTION,NOTICE,HOLD_REASON,RECEIVING,RECEIVING_DATE,OUTBOUND_MANIFEST,OUTBOUND_MANIFEST_DATE,INBOUND_MANIFEST,USER_IM,INBOUND_MANIFEST_DATE,MANIFEST_TRANSIT_AGEN,DATE_TRANSIT,HVO_NO,HVO_DATE,HVO_HUB,HVO_HUB_NAME,HVO_HUB_DESTINATION,HVO_HUB_DESTINATION_NAME,HVI_NO,HVI_DATE,RUNSHEET_NO,DATE_RUNSHEET,RUNSHEET_COURIER_ID,RUNSHEET_COURIER_NAME,CODING,STATUS_POD,TGL_RECEIVED,STATUS_LATITUDE,STATUS_LONGITUDE,AGING,ETD,SLA,CARRER,RECEIVED/REASON,TGL_UPDATE_STATUS_POD,WUS_OUTGOING_CODE,WUS_REMARKS,WUS_DATE,INVOICED,AWB_CANCEL,COD_FLAG,BILNOTE_FLAG,BILNOTE_AMOUNT,REFNO_UOB,SCO_NO,WO/DO/PO,NO_INVOICE,PAYMENT_TYPE,DATE_1ST_ATTEMPT,RESULT_1ST_ATTEMPT,LATLONG_1ST_ATTEMPT,DATE_2ND_ATTEMPT,RESULT_2ND_ATTEMPT,LATLONG_2ND_ATTEMPT,DATE_LAST_ATTEMPT,RESULT_LAST_ATTEMPT,LATLONG_LAST_ATTEMPT,PRA_RUNSHEET_NO,PRA_RUNSHEET_NAME,PRA_RUNSHEET_DATE,CS3_DATE,CONNOTE_RETURN_RT,DATE_CONNOTE_RETURN_RT,CONNOTE_RETURN_RF,DATE_CONNOTE_RETURN_RF,USER_CONNOTE,USER_ZONE_CONNOTE,CONFIRM_SHIPMENT_UNDEL,TRANSIT_MANIFEST,TRANSIT_MANIFEST_DATE,TRANSIT_MANIFEST_USER,IREG_MANIFEST,IREG_CODE,IREG_DATE,URL_TTD,URL_FOTO,USER_OM,USER_RECEIVING,AGING_ONGOING,CLAIM_NO,CLAIM_DOC_NO,CLAIM_DATE,NO_CNOTE_FW,ORIGIN_FW,DEST_FW,CODING_STATUS_FW,DESC_STATUS_FW,HBG_NO,HBG_DATE,1ST_HVO_NO,1ST_HVO_DATE,1ST_HVO_USER,LAST_HVO_NO,LAST_HVO_DATE,LAST_HVO_USER,MANIFEST_TRANSIT_SUBAGEN_NO,MANIFEST_TRANSIT_SUBAGEN_DATE,MANIFEST_INBOUND_SUBAGEN_NO,MANIFEST_INBOUND_SUBAGEN_DATE,BAG_NO,LATEST_SM_NO,LATEST_SM_DATE,1ST_PREVIOUS_SM_NO,1ST_PREVIOUS_SM_DATE,2ND_PREVIOUS_SM_NO,2ND_PREVIOUS_SM_DATE,1ST_TRANSIT_MANIFEST_NO,1ST_TRANSIT_MANIFEST_DATE,2ND_TRANSIT_MANIFEST_NO,2ND_TRANSIT_MANIFEST_DATE,3RD_TRANSIT_MANIFEST_NO,3RD_TRANSIT_MANIFEST_DATE,LAST_TRANSIT_MANIFEST_NO,LAST_TRANSIT_MANIFEST_DATE,MTI_USER,MTS_USER,HO_COURIER_NO,HO_COURIER_DATE,WAREHOUSE_DATE,OFFICE_DATE,IRREG_REMAKS,BPIK,ZONE_USER_ENTRI,CORRECT_DESTINATION,CORRECT_SERVICE,CORRECT_AMOUNT,HACB_NO,HACB_DATE,HACB_USER,HBAG_NO,HBAG_DATE,HBAG_USER,PICKUP_DATE,PICKUP_STATUS,PICKUP_COURIER_ID,1ST_RUNSHEET_DATE,1ST_RUNSHEET_COURIERID,URL_CHAT,SINGLE_LEG,LAST_DATE_DO,NO_RCW,DATE_RCW,USER_RCW,DATE_LPR,NO_LPR,NO_RDO,DATE_RDO,NO_DO,PROJECT_KR,HO_OFFICE_NO,HO_OFFICE_DATE,LATEST_SM_ORIGIN,LATEST_SM_DEST,1ST_PREVIOUS_SM_ORIGIN,1ST_PREVIOUS_SM_DEST,2ND_PREVIOUS_SM_ORIGIN,2ND_PREVIOUS_SM_DEST,STATUS_WEB,TGL_TARIK_REPORT,_UPLOAD_DATE
,,,,KOE0000000,ACC00000,Shipper 0,26/07/2026,Consignee 0,Addr 0,,,,,,KOE,DPS,REG,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2026-07-26,2026-07-26
,,,,KOE0000001,ACC00001,Shipper 1,26/07/2026,Consignee 1,Addr 1,,,,,,KOE,DPS,REG,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2026-07-26,2026-07-26
,,,,KOE0000002,ACC00002,Shipper 2,26/07/2026,Consignee 2,Addr 2,,,,,,KOE,DPS,REG,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2026-07-26,2026-07-26
,,,,KOE0000003,ACC00003,Shipper 3,26/07/2026,Consignee 3,Addr 3,,,,,,KOE,DPS,REG,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2026-07-26,2026-07-26
,,,,KOE0000004,ACC00004,Shipper 4,26/07/2026,Consignee 4,Addr 4,,,,,,KOE,DPS,REG,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2026-07-26,2026-07-26
,,,,KOE0000005,ACC00005,Shipper 5,26/07/2026,Consignee 5,Addr 5,,,,,,KOE,DPS,REG,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2026-07-26,2026-07-26
,,,,KOE0000006,ACC00006,Shipper 6,26/07/2026,Consignee 6,Addr 6,,,,,,KOE,DPS,REG,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2026-07-26,2026-07-26
,,,,KOE0000007,ACC00007,Shipper 7,26/07/2026,Consignee 7,Addr 7,,,,,,KOE,DPS,REG,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2026-07-26,2026-07-26
,,,,KOE0000008,ACC00008,Shipper 8,26/07/2026,Consignee 8,Addr 8,,,,,,KOE,DPS,REG,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2026-07-26,2026-07-26
,,,,KOE0000009,ACC00009,Shipper 9,26/07/2026,Consignee 9,Addr 9,,,,,,KOE,DPS,REG,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,2026-07-26,2026-07-26
